,Name,Email ID,Bank ID,Age,Location,Music preference,Risk,Net worth,Investment goals,Income per annum,Favorite Songs
142,Jessica Goodwin,holly35@example.net,BID41717,18,"North Monique, Minnesota",rock-n-roll,High,$424751,Travel,$82652,"Drift Away, I Love Rock 'N Roll, Rock 'N' Roll Is King"
143,Danny Smith,lucasconner@example.org,BID87459,36,"Batesview, Oregon",holidays,High,$471120,Child's education,$33831,"Holidays - fejk & ctrsk Remix, Holidays In The Sun, Merry Christmas, Happy Holidays"
144,Annette Davis,wdaniel@example.org,BID74787,39,"Kennethside, Maine",industrial,High,$498443,Travel,$86492,"INDUSTRY, Industrial Disease, Industrial"
145,Ryan Chambers,karenreynolds@example.com,BID15590,61,"North Robertfort, Massachusetts",cantopop,Low,$142578,Travel,$78215,"愛一個人, 無表面傷痕, 成就感"
146,Angela Morris,jane90@example.net,BID76730,22,"East Deannaton, Ohio",romance,High,$175908,Retirement savings,$76853,"Romance No 2 'Normandie', romance, Romantic Homicide"
147,Larry Bullock,lindarivera@example.com,BID16299,24,"Adamside, California",goth,High,$26004,Child's education,$43606,"Gotham City Guys, Gotham's Reckoning, Goth Babe"
148,Jessica Williams,christophermorrow@example.net,BID56303,26,"Kristinland, Missouri",soundtracks,High,$29913,Buy a new house,$39371,"Anthem of Inspiration, Bibbidi-Bobbidi-Boo - From ""Cinderella"" Soundtrack, Touch The Sky - From ""Brave""/Soundtrack"
149,Bonnie Peterson,sotokaren@example.com,BID18750,41,"Jonathanchester, Georgia",alt-rock,Low,$278288,Retirement savings,$85120,"Outside Woman Blues, Rock Around With Ollie Vee - Alternate Version, Ghostlove (1st Movement)"
150,Ashley Goodwin,colleenbautista@example.org,BID51048,45,"Farrelltown, Tennessee",mpb,Low,$195740,Buy a new house,$96405,"Cassette, Porcelain, MP5 (feat. SoFaygo)"
151,Patricia Suarez,jpeterson@example.com,BID13058,52,"Josephborough, Texas",blues,High,$46028,Buy a new house,$77933,"Blueshift, BLUES, Snowbank Blues"
152,Kelly Meyer,amyweber@example.com,BID64169,28,"Jenniferville, Arizona",psych-rock,Low,$352046,Buy a new house,$43828,"Messe pour le temps présent: 2. Psyché rock, Bliss and Agony, Stone Garden - Pete Rock Remix"
153,Stephanie Brown,ihebert@example.net,BID68303,30,"Yatesborough, Nevada",acoustic,High,$164306,Buy a new house,$86979,"Acoustic Energy Vibrations, Nowhere Fast, Young Blood - Acoustic"
154,Sarah Olsen,nsparks@example.net,BID70413,61,"South Tanya, New Jersey",afrobeat,Low,$181318,Travel,$24078,"Afrobeat 2023 Mixtape, Dembow afrobeat, Afrobeats"
155,Amanda Goodwin,christopherhernandez@example.net,BID94850,46,"North Meganbury, Maryland",cantopop,High,$427395,Travel,$28207,"無表面傷痕, 祇想一生跟你走, 今晚夜"
156,William Stewart,carlwest@example.net,BID78151,47,"Ritaland, Indiana",movies,High,$104941,Retirement savings,$99350,"Movie (feat. Lil Durk), Old Movies, Love You Like the Movies"
157,Timothy Smith,dominiquerobinson@example.org,BID45211,31,"Amberchester, Florida",j-dance,Low,$157764,Child's education,$67372,"He Is The King, BLAST, For The Jeers"
158,Samantha Johnson,vknox@example.org,BID77240,44,"Lake Christina, South Dakota",sad,High,$413680,Retirement savings,$28066,"Sad Song (feat. Elena Coats), Dead and Cold, sad"
159,Donald Davis,victoria17@example.com,BID73727,44,"West Jessica, Montana",deep-house,High,$450391,Travel,$79487,"Deep House Tools 02, Deep House Delight, Smooth Operator - Deep House Version"
160,Shawn Walton,stevenwoods@example.com,BID84143,54,"Michelleville, Illinois",breakbeat,Low,$139403,Retirement savings,$42995,"BreakBeat, Chao Garden (From ""Sonic Adventure 2 Battle"") [Remix], Break Beat"
161,Lindsay Smith,anthonybrown@example.com,BID60347,35,"Justinborough, New Mexico",chill,High,$173096,Buy a new house,$69563,"Chill Summer Rain, Chill Phonk, Chill With Me"
162,Christopher Parker,april82@example.com,BID72292,49,"Jasonland, South Dakota",mandopop,Low,$440289,Buy a new house,$26783,"The Show Must Go On, 無人熟識, 新不了情"
163,Brent Rivera,suarezrhonda@example.net,BID87366,31,"Christensenport, Virginia",disney,High,$418398,Buy a new house,$30865,"Disney Medley #4: Go the Distance / Can You Feel the Love Tonight / A Dream Is a Wish Your Heart Makes, How Far I'll Go / Go the Distance, Be Our Guest - From ""Beauty And The Beast"" Soundtrack"
164,Justin Newton,samuelhendrix@example.net,BID50583,42,"New Samuel, Vermont",reggae,Low,$338394,Retirement savings,$37560,"Reggae Music Is Life, Reggaeton Ton, Tomorrow People"
165,Dennis Sellers,crosbyroberto@example.org,BID61950,37,"North Veronicabury, Florida",british,Low,$423037,Buy a new house,$31874,"The Brits are coming, British Grenadiers, Britical Ft. BeezyB"
166,Thomas David,richardsonmatthew@example.org,BID89387,29,"Port Michaelmouth, Georgia",club,High,$200101,Child's education,$59106,"club, club heaven, Clubhouse"
167,Misty Hamilton,kholloway@example.org,BID87714,24,"South Elizabethtown, Iowa",new-release,Low,$56001,Retirement savings,$55259,"Hejira - Live, Sunday Bloody Sunday - Live, Shock The Monkey - Live"
168,Tammy Ross,qmyers@example.com,BID24994,34,"Johnsonberg, Nevada",dubstep,High,$162682,Child's education,$59875,"Dubstep Dub, DubStep, Sandstorm (Dubstep Remix)"
169,Christopher Ingram,adkinsthomas@example.net,BID63136,44,"Johnsonshire, Utah",hip-hop,High,$463883,Travel,$92903,"It's Bigger Than Hip Hop UK - Dubbed Out Mix, Hip Hop (Caminaré), Hip Hop 92222 Dj Leo Man"
170,April Williams,angelavillarreal@example.org,BID67140,40,"Eileenland, Arkansas",post-dubstep,Low,$79325,Child's education,$63298,"Artificial Dubstep, A Bass Renaissance, Right Time Right Way"
171,Stacy Moon,christineturner@example.org,BID34631,44,"North Martha, Missouri",children,Low,$30131,Buy a new house,$38533,"Children (Mix Cut), Children's Album, Op. 39, TH 141: 11. Mazurka, Children of the Sun (feat. Merethe Soltvedt)"
172,Dana Parker,spearskristen@example.org,BID40642,63,"Josephville, Massachusetts",j-dance,Low,$311780,Retirement savings,$82387,"EPIC, OKAY, BLAST"
173,Tanya Lara,rdavis@example.com,BID18960,50,"West Danielle, Alabama",acoustic,Low,$405172,Travel,$76697,"What Do You Mean? - Acoustic, Acoustics, She Will Be Loved"
174,Christopher Crane,herreraanthony@example.net,BID44965,62,"Port Maria, Iowa",trance,High,$228074,Retirement savings,$43185,"Exploration Of Space, Exposure, trance - outro version"
175,Kim Lewis,courtney67@example.net,BID99363,63,"Hendersonview, Illinois",jazz,Low,$442210,Travel,$41770,"Jazzy Afternoon, Jazz Suite No. 2: II. Lyric Waltz, Jazzie Robinson"
176,Joshua Robbins,bethany28@example.net,BID83497,22,"Sierrahaven, Minnesota",malay,High,$290586,Buy a new house,$20873,"Don’t Lie [Feat. Malaya], Malayo Pa Ang Umaga, Anmbezhum Aayudham (From ""Leo (Malayalam)"")"
177,Curtis Hunt,erica10@example.org,BID34422,27,"Lake Kelseyton, Nevada",songwriter,High,$277130,Travel,$51315,"Don't Break A Songwriter's Heart, Take Me With You, songwriter"
178,Shelley Morales,smithmichael@example.net,BID58465,22,"Riveramouth, Oklahoma",pop,High,$72372,Retirement savings,$72595,"Pop That, Pop You, Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series"
179,Joseph Cook,ohuber@example.com,BID83947,52,"North Susan, Texas",industrial,Low,$431795,Travel,$99270,"INDUSTRIAL, Industrial Fan, Industrial Disease"
180,Jennifer Jones,xmorgan@example.net,BID51860,53,"North Chloeland, Iowa",psych-rock,High,$170758,Child's education,$39315,"Psyche Rock - (Fatboy Slim Malpaso Mix), Rage Attack, Psycho Road"
181,Kayla Castro,gregory45@example.com,BID67477,22,"Marisaburgh, Arizona",romance,High,$52941,Child's education,$86001,"Romance Quinceañero, Romance / Love Me, Romance The Rain"
182,Veronica Perry,david09@example.org,BID57255,61,"New Anne, Tennessee",salsa,Low,$78990,Travel,$31097,"Ahora Quien - Salsa Version, Salsa and Margaritas, Deseándote"
183,Monica Ayers,michael83@example.org,BID86964,39,"North Joshuaview, Rhode Island",house,Low,$156190,Retirement savings,$86191,"House Fire, Mamaw's House, House Of Cards"
184,Brian Salas,daisylamb@example.net,BID59382,60,"Wadeshire, Louisiana",j-rock,Low,$448029,Child's education,$41471,"Jump, Pots and Pans, Patience (feat. Jrock & South)"
185,Anthony Snyder,melissa09@example.net,BID82254,44,"North Katherine, Idaho",j-idol,High,$457610,Buy a new house,$80541,"Image, Yup! Yup! Yup!, Joel Ocean Idol - Radio Mix"
186,Miguel Castro,jason98@example.org,BID63250,41,"Jessicaview, Mississippi",work-out,Low,$212564,Buy a new house,$43680,"Work Out., Work-Out, Work Out with My Family at Home"
187,Debra Medina,ebaker@example.net,BID97641,56,"East Robert, Maryland",post-dubstep,Low,$160160,Retirement savings,$86961,"Dubstep Is Dead, Sandstorm (Dubstep Remix), They Love You"
188,Patrick Hood,william16@example.com,BID38369,38,"Christinamouth, Tennessee",classical,Low,$93500,Travel,$24013,"Symphony No. 40 in G Minor, K. 550 ""Great"": I. Allegro molto, Classical Piano for Sleeping Music, classical phonk, p.2"
189,Joseph Carroll,portermichael@example.net,BID69089,59,"Allenbury, Hawaii",show-tunes,Low,$82927,Travel,$72371,"I'm a Martian, Tv Show Theme from ''the Mentalist'', Show Time Theme"
190,Alejandra Scott,bwright@example.net,BID56252,41,"Jonesberg, New Jersey",cantopop,Low,$186757,Buy a new house,$71043,"冰心鎖 - Cantonese Version, Lydia, 心急人上"
191,Mrs. Linda Rivers,jenniferbennett@example.com,BID88033,35,"Smithshire, Pennsylvania",singer-songwriter,High,$98253,Retirement savings,$68690,"Bored, Why You Been Gone So Long, Singer-songwriter"
192,Clifford Martinez,fergusonchristopher@example.org,BID45586,65,"West Travismouth, Illinois",folk,High,$26274,Travel,$58153,"Folks Like Us, (Folk) up the Punx!, champagne problems"
193,Michael Elliott,baguirre@example.org,BID86061,38,"New Christopherview, Utah",k-pop,High,$236826,Child's education,$82977,"K-pop, Run Devil Run, Kiss In The Snow"
194,Jose Camacho,scottmichael@example.org,BID16509,58,"East Jack, Hawaii",summer,High,$355665,Buy a new house,$72744,"Session 33, Summers Over Interlude, Summer of Love (Shawn Mendes & Tainy)"
195,Jessica Reilly,yroberts@example.org,BID46906,37,"Cruzton, New Hampshire",ska,Low,$206436,Retirement savings,$78491,"Skandinaviska Nätter, ska, Skal"
196,Barbara Barnett,mfrench@example.org,BID21224,60,"Emmabury, New Mexico",movies,High,$107522,Travel,$83717,"movies for guys, Like the Movies, Movies"
197,Nicholas Williams,rodriguezashley@example.net,BID68229,51,"Bellburgh, Minnesota",children,Low,$369770,Travel,$64626,"Children (Mix Cut), CHILDREN OF SORROW, Children's Album, Op. 39, TH 141: 11. Mazurka"
198,Maurice Rios,jonespaula@example.org,BID88934,48,"South Nicholas, South Dakota",metal,Low,$26797,Travel,$52547,"Mëtal On Livë, The Metal, One (Remastered)"
199,David Rodriguez,william95@example.net,BID13146,35,"South Joseph, Delaware",trance,High,$128189,Retirement savings,$43230,"Trance Title Track, trance - slowed + reverb, Trance (with Travis Scott & Young Thug)"
200,Chad Reed,dgilmore@example.net,BID67948,62,"Michaelborough, Delaware",indie-pop,High,$316689,Child's education,$48994,"Wurst Vacation, Bored, dreams, books, power and walls"
201,Becky Martin,ccisneros@example.org,BID94835,30,"South Leeport, Missouri",minimal-techno,High,$333620,Retirement savings,$49394,"Lipstick - Feyser & Vilence Remix, Minimal Techno & EDM Minimal House - Car Music - Mixed by RTTWLR, Coronita Minimal Techno Mix 2022 - Continuous DJ Mix"
202,Michaela Austin,oelliott@example.org,BID10698,53,"New David, Alaska",indie,High,$340997,Travel,$36883,"Indie Alt Boys, Indie Safar (2022), Indie Movie Night 1"
203,Joseph Sellers,rothalex@example.com,BID11476,59,"Lake Krista, Utah",songwriter,Low,$105439,Buy a new house,$95848,"Fortune Teller, The songwriter, Thank you grandma"
204,Leslie Coleman,icallahan@example.net,BID40725,27,"North Marvinfort, Vermont",jazz,High,$316436,Travel,$28512,"Jazz Suite No. 2: VI. Waltz II, Jazzy Night, Jazz Noir"
205,Erica Turner,pamela54@example.org,BID71521,44,"Marksfurt, Michigan",new-release,High,$162267,Retirement savings,$66736,"Risen, Little blink, Welcome To New York"
206,Mr. Michael Leonard,christianpierce@example.net,BID95098,60,"Gonzalezburgh, South Dakota",goth,High,$489163,Retirement savings,$34895,"goth, Sometimes, Mia Goth"
207,Juan Hines,vaughnkathryn@example.net,BID83476,42,"Stephanieville, Nevada",edm,High,$80840,Child's education,$38992,"EDM, Edmund Kemper, 七友"
208,Vickie Cook,leahphillips@example.org,BID58007,52,"Amymouth, South Carolina",heavy-metal,High,$138621,Travel,$48185,"HEAVY METALS, Heavy Metal Love - ZERO THREE ZERO Phonk Remix, Heavy Metal Shit (feat. Lafa Taylor & Neon Steve)"
209,Deborah Gibson,victoriafisher@example.com,BID55781,65,"West Greg, Tennessee",romance,Low,$73425,Travel,$85486,"Romance in Durango, Romance, Romantic Homicide"
210,Rebecca Garcia,hopkinsmelissa@example.net,BID60879,44,"East Nancy, Wyoming",metalcore,High,$225135,Travel,$69346,"Dethharmonic, Sexy And I Know It, Metal Crusher (Death by Glamour)"
211,Stephen Harris,jenniferlee@example.org,BID57556,64,"Carlastad, Kansas",synth-pop,High,$202646,Retirement savings,$21921,"Koka Synth (Pop Mix), She's Got Bette Davis Eyes, Vibrant Pop Symphony"
212,Jimmy Murphy,hwright@example.net,BID14954,37,"North Taylor, Minnesota",jazz,High,$359007,Buy a new house,$24875,"Jazz Hands, Jazzman, Jazz Suite No. 2: VI. Waltz II"
213,Lisa Lowe,clozano@example.com,BID34833,41,"Jasonchester, Oregon",trance,Low,$445687,Child's education,$88424,"Trance Title Track, Trancefusion Trip, trance - sped up + reverb"
214,Barbara Wise,bgates@example.com,BID33879,51,"West Kevin, Delaware",synth-pop,Low,$158289,Retirement savings,$44921,"Vibrant Pop Symphony, Synth Song, In the FM"
215,Mary Morales,jonathan23@example.net,BID25791,33,"Williamfurt, Oklahoma",edm,Low,$314677,Travel,$53979,"Withdrawls (Edm Remix), Upwards, Edmonton"
216,Justin Taylor,loganchristopher@example.com,BID93532,59,"Evelynside, Maine",j-rock,Low,$28143,Retirement savings,$48902,"SHOUJO REI - Cover, J rock, Pots and Pans"
217,Briana Holmes,bakernancy@example.org,BID80762,25,"Denniston, Nebraska",grunge,High,$129102,Retirement savings,$61747,"Grunge - Original Mix, Grunge Betty, Smells Like Teen Spirit"
218,Karl Brown,angie66@example.com,BID28433,49,"West Michaelburgh, Wyoming",post-dubstep,High,$196278,Travel,$72797,"Kabol (Vip Post Dubstep Mix), Dubstep relief, Satisfaction (Dubstep Remix)"
219,Alexis Stewart,hjames@example.net,BID26425,60,"East Amyberg, North Carolina",opera,High,$38095,Buy a new house,$43427,"Crush, Opera House, Operation: Greenbacks"
220,Jennifer Green,philip84@example.com,BID32642,62,"Lake Melinda, South Carolina",death-metal,High,$194894,Buy a new house,$77508,"Leprosy, Death Metal Guys, D>E>A>T>H>M>E>T>A>L_R>O>T"
221,Tracey Scott,vtaylor@example.org,BID85719,54,"Morrisfurt, Tennessee",edm,High,$204057,Travel,$87257,"Edm, Clandestina - JVSTIN Remix, Fous - Edmofo Remix"
222,Laurie Todd,breid@example.net,BID23895,60,"Sandersville, Ohio",sertanejo,High,$41696,Retirement savings,$34647,"Sertanejo Nato, Amor Safado (Xote Sertanejo), Coração Sertanejo / Onde Haja Sol - Ao Vivo"
223,Julie Nunez,samanthareed@example.com,BID87530,33,"Warestad, Louisiana",children,Low,$312730,Travel,$39019,"Children's Album, Op. 39, TH 141: 11. Mazurka, Children Of Decadence, Children's Album, Op. 39, TH 141: 13. The Accordion Player"
224,Emily Willis,kimberly62@example.com,BID60617,19,"Campbellview, Alaska",sad,Low,$355962,Retirement savings,$94115,"Sad & Alone, Sad Nibba Hours, Sad Song (feat. Elena Coats)"
225,Jeffrey Roman,griffithmichelle@example.com,BID34601,56,"Angelamouth, Kansas",idm,High,$408968,Child's education,$37673,"idontwannabeyouanymore, I'm Yours, Immortal"
226,Kelly Harris,adamsian@example.org,BID53771,18,"East Kathleen, Missouri",house,Low,$24174,Child's education,$92745,"House Of Cards, The Housebuilding Song, House On Fire"
227,Steven Douglas,tpeterson@example.net,BID63822,24,"North Jasonshire, Kentucky",techno,Low,$429125,Buy a new house,$35290,"Techno Prank, Techno Cumbia, Techno Euphoria"
228,Larry Wright,brianyoung@example.net,BID53340,26,"Collinsfurt, North Dakota",brazil,High,$211922,Child's education,$88785,"Brazil Phonk Powww, The Brazilian, Brazilian Football Song"
229,Susan Sims,ngray@example.net,BID43142,28,"Lake Melissa, Louisiana",salsa,High,$286623,Retirement savings,$62705,"Salsa Dura legends, Tu Amor Me Hace Bien - Salsa Version, Long Run"
230,Roger Sandoval,vanceadam@example.net,BID84643,32,"Jacksonshire, Iowa",emo,High,$38370,Travel,$76010,"Emotional Crank, Emotionless, Emorio"
231,Tina Schultz,joseph30@example.org,BID41861,20,"Stevenhaven, Ohio",salsa,High,$231462,Child's education,$87050,"Tu Amor Me Hace Bien - Salsa Version, Salsa Pa' Olvidar las Penas (feat. Gilberto Santa Rosa), Salsa Soca"
232,Rhonda Evans,lunajudy@example.net,BID77199,35,"East Jessicastad, California",metalcore,High,$61454,Child's education,$50677,"MetalCore, Move Bitch, Dethharmonic"
233,Anne Berry,robert97@example.com,BID53396,45,"Kellystad, Montana",detroit-techno,High,$60264,Child's education,$86036,"Midnight Sunshine, Detroit Rock City - 2012 Remix, Welcome to Detroit (feat. Eminem)"
234,Jennifer Jenkins,john26@example.com,BID95138,50,"East Ryan, Vermont",mandopop,Low,$335729,Child's education,$78014,"Survive the Night, 無人熟識, Balloons"
235,Andrew Moore,jessicagreen@example.com,BID39427,42,"Bryanside, Wyoming",detroit-techno,High,$180936,Travel,$40583,"Detroit Electronica, Detroit Rock City - 2012 Remix, Welcome to Detroit (feat. Eminem)"
236,Wendy Ross,stacey26@example.com,BID28844,59,"Hannahfurt, Virginia",electronic,Low,$343635,Travel,$41661,"ELECTRÓNICA, Electronica Revolution, Electronic Lover"
237,Micheal Lopez,kelsey26@example.net,BID72682,26,"Chelseamouth, Vermont",kids,Low,$31562,Buy a new house,$72112,"American Kids, Super Rich Kids, 4th Dimension"
238,Angel Garcia,mwilliams@example.net,BID85980,64,"New Michael, Wisconsin",sertanejo,Low,$356638,Travel,$87687,"Lamento Sertanejo (Forró do Dominguinhos), Jeitão Sertanejo, Sertanejo Nato"
239,Jeffrey Cervantes,riveratimothy@example.net,BID62290,24,"Hudsonton, North Carolina",road-trip,High,$367679,Child's education,$71470,"The Road Trip, What Army, Road Trippin"
